date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:18	36969/36969	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Aug%202018%2005:05:16%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/index.html	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/index.html	(from )
18:04:18	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Jan%202021%2010:00:17%20GMT	https://themeturn.com/robots.txt		(from )
18:04:19	178152/178152	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:06:08%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/bootstrap/css/bootstrap.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
18:04:20	108707/108707	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:05:25%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/css/icofont.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/css/icofont.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
18:04:20	28810/28810	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:05:24%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/css/font-awesome.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/css/font-awesome.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
18:04:21	3351/3351	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:05:25%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/css/owl.carousel.min.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
18:04:21	1013/1013	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:05:26%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/css/owl.theme.default.min.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
18:04:21	25983/25983	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:05:22%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/css/aos.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/css/aos.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
18:04:21	57095/57095	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:05:23%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/css/animate.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/css/animate.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
18:04:22	29388/29388	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Aug%202018%2005:05:27%20GMT	https://themeturn.com/tf-db/promotal-intro/promotal/assets/css/style.css	C:/My%20Web%20Sites/myweb/themeturn.com/tf-db/promotal-intro/promotal/assets/css/style.css	(from https://themeturn.com/tf-db/promotal-intro/promotal/index.html)
